icd_code,n,d,rate
33379,0,1,0.0
33381,0,2,0.0
33383,0,1,0.0
33385,0,1,0.0
33390,0,2,0.0
33391,0,1,0.0
33394,0,5,0.0
3343,0,1,0.0
33520,0,3,0.0
3360,0,1,0.0
3371,0,1,0.0
33721,0,2,0.0
33722,0,2,0.0
33729,0,1,0.0
3379,0,1,0.0
3380,0,1,0.0
33818,1,136,0.007352941176470588
33819,1,47,0.02127659574468085
33828,0,2,0.0
33829,9,176,0.05113636363636364
3383,0,4,0.0
3384,0,2,0.0
33900,0,11,0.0
33920,0,17,0.0
3393,0,4,0.0
33943,0,1,0.0
340,3,118,0.025423728813559324
3410,0,1,0.0
34290,0,1,0.0
3430,0,1,0.0
3438,0,1,0.0
3439,1,16,0.0625
3441,1,13,0.07692307692307693
34489,0,1,0.0
34500,0,2,0.0
34510,0,4,0.0
34550,0,3,0.0
34580,5,290,0.017241379310344827
34590,3,292,0.010273972602739725
34600,0,5,0.0
34603,0,1,0.0
34620,0,5,0.0
34650,0,1,0.0
34680,1,33,0.030303030303030304
34682,0,3,0.0
34690,7,610,0.011475409836065573
34691,0,1,0.0
34692,0,1,0.0
34700,0,1,0.0
3480,0,2,0.0
3482,0,15,0.0
34830,1,1,1.0
3485,0,2,0.0
34889,0,3,0.0
3489,0,9,0.0
3490,3,48,0.0625
34981,0,1,0.0
3501,1,26,0.038461538461538464
3510,2,138,0.014492753623188406
3519,0,1,0.0
3529,0,1,0.0
3530,0,4,0.0
3540,0,20,0.0
3542,0,14,0.0
3543,1,13,0.07692307692307693
3549,1,5,0.2
3551,0,1,0.0
3558,1,26,0.038461538461538464
3559,1,4,0.25
3562,0,1,0.0
3569,0,3,0.0
3570,0,1,0.0
3572,1,14,0.07142857142857142
35800,2,15,0.13333333333333333
3589,0,1,0.0
3591,0,2,0.0
35921,0,1,0.0
35922,0,1,0.0
3593,0,1,0.0
36000,0,3,0.0
36100,0,4,0.0
36103,0,1,0.0
36130,0,1,0.0
36189,0,5,0.0
3619,0,9,0.0
36211,0,1,0.0
36230,0,2,0.0
36234,0,3,0.0
36235,0,1,0.0
36250,0,1,0.0
36256,0,1,0.0
36284,0,1,0.0
36322,0,1,0.0
3638,0,1,0.0
36400,0,4,0.0
36405,0,1,0.0
3643,0,24,0.0
36441,0,1,0.0
36442,0,1,0.0
36500,0,1,0.0
36522,0,8,0.0
3659,0,6,0.0
36602,0,1,0.0
36604,0,1,0.0
36617,0,1,0.0
3669,0,2,0.0
3670,0,1,0.0
36811,0,1,0.0
36812,0,3,0.0
36813,0,1,0.0
36816,0,2,0.0
3682,2,47,0.0425531914893617
36840,0,1,0.0
36841,0,1,0.0
36844,0,2,0.0
36846,0,2,0.0
3688,1,200,0.005
3694,0,1,0.0
3698,0,4,0.0
37000,0,16,0.0
37021,0,3,0.0
37040,0,1,0.0
3708,0,4,0.0
3709,0,7,0.0
37120,0,2,0.0
37142,0,1,0.0
37160,0,1,0.0
37182,0,15,0.0
3719,0,2,0.0
37200,0,2,0.0
37202,0,1,0.0
37205,0,5,0.0
37206,0,6,0.0
37214,0,20,0.0
37215,0,1,0.0
37230,1,261,0.0038314176245210726
37239,0,9,0.0
37240,0,1,0.0
37242,0,1,0.0
37251,0,1,0.0
37272,0,57,0.0
37273,0,1,0.0
37274,0,1,0.0
37289,0,4,0.0
37300,0,13,0.0
37311,0,63,0.0
37312,0,3,0.0
37313,0,7,0.0
3732,0,12,0.0
37331,0,2,0.0
37332,0,1,0.0
3738,0,1,0.0
3739,0,2,0.0
37430,1,7,0.14285714285714285
37482,0,5,0.0
37484,0,1,0.0
37489,0,1,0.0
37500,0,1,0.0
37501,0,1,0.0
37515,0,3,0.0
37530,0,3,0.0
37556,0,1,0.0
37601,0,23,0.0
37610,1,1,1.0
37611,0,3,0.0
37700,0,3,0.0
